Detected,Issue,Related to Tensor,Version,Buggy API,Category,Impact,Log Rule,Log Message,Category,Trigger Mechanism,Description,Need More Inspection(0/1),Reason not agree,,Time,Related,CUDA
,https://github.com/tensorflow/tensorflow/issues/60583,yes,2.12.0,tf.data.Dataset.from_tensor_slices.rejection_resample,Logical,InvalidArgumentError,InvalidArgumentError,tensorflow.python.framework.errors_impl.InvalidArgumentError: {{function_node __wrapped__DatasetToSingleElement_output_types_2_device_/job:localhost/replica:0/task:0/device:CPU:0}} Cannot batch tensors with different shapes in component 1. First element had shape [3] and element 1 had shape [2]. [Op:DatasetToSingleElement] name:,API Input Context,Modeling Specific Inputs,,1,trigger is: passing the ragged tensor through a differnt api called rejection_samples,,2023-05-12T10:16:39Z,1,N.A
,https://github.com/tensorflow/tensorflow/issues/60549,no,2.12.0,tf.signal.inverse_stft,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,1,should be incorrect code pattern,,2023-05-09T20:14:39Z,1,N.A
,https://github.com/tensorflow/tensorflow/issues/60547,yes,2.14.0,tf.linalg.matrix_rank,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Usage Context,Modeling Decorators for DL Execution Mode,,,,,2023-05-09T19:42:32Z,1,N.A
,https://github.com/tensorflow/tensorflow/issues/60521,no,2.12.0,tf.nn.leaky_relu,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Usage Context,Supporting Specific Data Types,,,,,2023-05-06T09:03:07Z,1,N.A
,https://github.com/tensorflow/tensorflow/issues/60472,yes,2.12.0,tf.where,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Inputs," I suspect this because changing the input shape to (4, ) changes the output shape to (4, )",1,"it's inconsistent result, trigger is two differnt input argument",,2023-05-02T16:34:56Z,1,N.A
,https://github.com/tensorflow/tensorflow/issues/60400,yes,2.12.0,tf.RaggedTensor.row_lengths,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Inputs,,1,ragged tensor is the trigger,,2023-04-22T18:30:48Z,1,N.A
,https://github.com/tensorflow/tensorflow/issues/60312,no,2.12.0,tf.nn.conv2d,Performance bug,Performance bug,Slow Execution,Slow Execution,Test Case Context,Oracle for Performance Bug Detection,,,,,2023-04-13T10:01:27Z,1,N.A
,https://github.com/tensorflow/tensorflow/issues/60277,yes,2.12.0,tf.raw_ops.TridiagonalMatMul,Vulnerability,integer overflow,Aborted (core dumped),"2023-04-09 14:03:32.257496: F tensorflow/core/framework/tensor_shape.cc:201] Non-OK-status: InitDims(dim_sizes) status: INVALID_ARGUMENT: Encountered overflow when multiplying 6291163412844499803 with 7, result: -1
Aborted (core dumped)",API Input Context,Large Input Tensor,,1,integer overflow should be changed to checkfail,,2023-04-09T06:05:40Z,1,N.A
,https://github.com/tensorflow/tensorflow/issues/60276,yes,2.13.0,tf.raw_ops.Gather,Vulnerability,integer overflow,Aborted (core dumped),"2023-04-09 14:03:32.257496: F tensorflow/core/framework/tensor_shape.cc:201] Non-OK-status: InitDims(dim_sizes) status: INVALID_ARGUMENT: Encountered overflow when multiplying 6291163412844499803 with 7, result: -1
Aborted (core dumped)",API Input Context,Large Input Tensor,,,,,2023-04-09T06:01:12Z,1,cu118
ACETest,https://github.com/tensorflow/tensorflow/issues/60275,yes,2.12.0,tf.raw_ops.MatrixLogarithm,Vulnerability,integer overflow,Aborted (core dumped),"2023-04-09 14:03:32.257496: F tensorflow/core/framework/tensor_shape.cc:201] Non-OK-status: InitDims(dim_sizes) status: INVALID_ARGUMENT: Encountered overflow when multiplying 6291163412844499803 with 7, result: -1
Aborted (core dumped)",API Input Context,Large Input Tensor,,1,integer overflow should be changed to checkfail,,2023-04-09T05:57:00Z,1,cu118
ACETest,https://github.com/tensorflow/tensorflow/issues/60273,yes,2.12.0,tf.raw_ops.UnicodeDecodeWithOffsets,Vulnerability,Check failed,Aborted (core dumped),"2023-04-09 13:47:12.779782: F tensorflow/core/framework/tensor.cc:770] Check failed: dtype() == expected_dtype (9 vs. 3) int32 expected, got int64
Aborted (core dumped)",API Input Context,Supporting Specific Data Types,,,,,2023-04-09T05:50:27Z,1,cu118
,https://github.com/tensorflow/tensorflow/issues/60239,yes,2.12.0,tf.data.Dataset.ragged_batch,Logical,ValueError,Tensor conversion requested dtype,"ValueError: Tensor conversion requested dtype variant for Tensor with dtype int32: <tf.Tensor: shape=(2,), dtype=int32, numpy=array([1, 2], dtype=int32)>",API Input Context,Modeling Specific Inputs,,1,"trigger is when using debug mode, the normal one is ok",,2023-04-05T10:26:05Z,1,N.A
,https://github.com/tensorflow/tensorflow/issues/60201,yes,2.12.0,tf.raw_ops.DepthwiseConv2dNativeBackpropInput,Vulnerability,InvalidArgumentError,Aborted (core dumped),"2023-04-01 16:37:55.854746: F tensorflow/core/kernels/mkl/mkl_conv_grad_input_ops.cc:537] Non-OK-status: tensor::MakeShape(input_tensor, &input_tf_shape) status: INVALID_ARGUMENT: Dimension -510 must be >= 0
Aborted (core dumped)",API Input Context,Generating Tensors with Incompatible Shapes,,,,,2023-04-01T08:40:42Z,1,cu118
,https://github.com/tensorflow/tensorflow/issues/60200,yes,2.12.0,tf.raw_ops.ThreadUnsafeUnigramCandidateSampler,Vulnerability,InvalidArgumentError,Aborted (core dumped),"2023-04-01 16:37:55.854746: F tensorflow/core/kernels/mkl/mkl_conv_grad_input_ops.cc:537] Non-OK-status: tensor::MakeShape(input_tensor, &input_tf_shape) status: INVALID_ARGUMENT: Dimension -510 must be >= 0
Aborted (core dumped)",API Input Context,Large Integer Argument,,,,,2023-04-01T08:36:16Z,1,cu118
,https://github.com/tensorflow/tensorflow/issues/60199,yes,2.12.0,tf.raw_ops.MatrixDeterminant,Vulnerability,integer overflow,Aborted (core dumped),"2023-04-01 16:27:45.620825: F tensorflow/core/framework/tensor_shape.cc:201] Non-OK-status: InitDims(dim_sizes) status: INVALID_ARGUMENT: Encountered overflow when multiplying 7678600331551628182 with 15, result: -1
Aborted (core dumped)",API Input Context,Large Input Tensor,,1,integer overflow should be changed to checkfail,,2023-04-01T08:30:49Z,1,cu118
,https://github.com/tensorflow/tensorflow/issues/60197,yes,2.12.0,tf.raw_ops.LearnedUnigramCandidateSampler,Vulnerability,Check failed,Aborted (core dumped),"2023-04-01 16:20:39.689581: F tensorflow/core/kernels/range_sampler.cc:183] Check failed: range < kint32max (3031324185113192368 vs. 2147483647)
Aborted (core dumped)",API Input Context,Large Integer Argument,,,,,2023-04-01T08:23:48Z,1,cu118
,https://github.com/tensorflow/tensorflow/issues/60196,yes,2.12.0,tf.raw_ops.StatelessRandomGammaV2,Vulnerability,Check failed,Aborted (core dumped),"2023-04-01 16:17:28.418600: F ./tensorflow/core/util/gpu_launch_config.h:129] Check failed: work_element_count >= 0 (0 vs. -457139056)
Aborted (core dumped)",API Input Context,Empty Input Tensor,,,,,2023-04-01T08:21:17Z,1,cu118
,https://github.com/tensorflow/tensorflow/issues/60195,yes,2.12.0,tf.raw_ops.Conv3DBackpropFilterV2,Vulnerability,Check failed,Aborted (core dumped),"2023-04-01 15:05:15.267117: F ./tensorflow/core/util/tensor_format.h:427] Check failed: index >= 0 && index < num_total_dims Invalid index from the dimension: 1, 1, C
Aborted (core dumped)",API Input Context,Generating Tensors with Incompatible Shapes,,,,,2023-04-01T07:09:21Z,1,cu115
,https://github.com/tensorflow/tensorflow/issues/60165,no,2.12.0,tf.compat.v1.gfile.Rename,Logical,FailedPreconditionError,Source is a directory or empty file,"    _pywrap_file_io.RenameFile(
tensorflow.python.framework.errors_impl.FailedPreconditionError: Source is a directory or empty file",API Input Context,Modeling Specific Inputs,"Any resolution on this issue? The documentation states that tf.io.gfile.rename should work with directories. Again, this issue seems to be for S3 even with importing tensorflow_io. Local files seem to work. I haven't tried gcs or any other cloud provider. Other operations seem to work fine like checking if the folder exists in S3 with tf.io.gfile.exists",,,,2023-03-29T16:54:22Z,1,N.A
,https://github.com/tensorflow/tensorflow/issues/60147,yes,2.12.0,tf.raw_ops.ResourceScatterUpdate,Vulnerability,Check failed,Aborted (core dumped),"2023-03-28 11:39:22.735062: F tensorflow/core/framework/tensor.cc:770] Check failed: dtype() == expected_dtype (1 vs. 2) double expected, got float
Aborted (core dumped)",API Input Context,Supporting Specific Data Types,,,,,2023-03-28T16:41:15Z,1,N.A
,https://github.com/tensorflow/tensorflow/issues/60131,yes,2.12.0,tf.keras.applications.ResNet50,Performance bug,Performance bug,Memory Leak,Memory Leak,Test Case Context,Oracle for Performance Bug Detection,,,,,2023-03-27T15:36:35Z,1,N.A
,https://github.com/tensorflow/tensorflow/issues/60059,yes,2.11.0,tf.raw_ops.QuantizeAndDequantizeV4,Logical,TypeError,takes 2 positional arguments but 4 were given,TypeError: _QuantizeAndDequantizeV4GradGrad() takes 2 positional arguments but 4 were given,Test Case Context,Modeling Multiple API Usage Pattern,,1,"2 arguments were passed, but expected 4, arguments are not matching",,2023-03-22T00:32:52Z,1,N.A
,https://github.com/tensorflow/tensorflow/issues/60041,yes,2.11.0,tf.math.zeta,Vulnerability,Inconsistent results,Inconsistent results,Inconsistent results,Others,Others,,,,,2023-03-20T05:15:05Z,1,N.A
ACETest,https://github.com/tensorflow/tensorflow/issues/60034,yes,2.11.0,tf.raw_ops.CholeskyGrad,Vulnerability,integer overflow,Aborted (core dumped),"2023-03-18 18:20:26.563113: F tensorflow/core/framework/tensor_shape.cc:201] Non-OK-status: InitDims(dim_sizes) status: INVALID_ARGUMENT: Encountered overflow when multiplying 1152921504606846976 with 8, result: -9223372036854775808
Aborted (core dumped)",API Input Context,Large Input Tensor,,,,,2023-03-18T10:22:30Z,1,N.A
,https://github.com/tensorflow/tensorflow/issues/59960,yes,2.11.0,tf.raw_ops.CholeskyGrad,Vulnerability,TypeError,takes 2 positional arguments but 4 were given,TypeError: _QuantizeAndDequantizeV4GradGrad() takes 2 positional arguments but 4 were given,Test Case Context,Modeling Multiple API Usage Pattern,,1,"2 arguments were passed, but expected 4, arguments are not matching",,2023-03-12T01:12:14Z,1,N.A
,https://github.com/tensorflow/tensorflow/issues/59927,yes,2.11.0,tf.compat.v1.nn.quantized_conv2d,Vulnerability,Check failed,Aborted (core dumped),"2023-03-08 10:44:30.202557: F tensorflow/core/kernels/quantized_conv_ops.cc:572] Check failed: out_cols > 0 (0 vs. 0)
Aborted (core dumped)",API Input Context,Empty Input Tensor,,,,,2023-03-08T02:46:25Z,1,cu115
,https://github.com/tensorflow/tensorflow/issues/59754,yes,2.11.0,tf.gather_nd,Logical,Others,Op: ResourceGatherNd,"Colocation members, user-requested devices, and framework assigned devices, if any:
  resource (_Arg)  framework assigned device=/job:localhost/replica:0/task:0/device:GPU:0
  ResourceGatherNd (ResourceGatherNd) /job:localhost/replica:0/task:0/device:GPU:0

Op: ResourceGatherNd
Node attrs: dtype=DT_COMPLEX64, Tindices=DT_INT64
Registered kernels:",API Input Context,Supporting Specific Data Types,,,,,2023-02-21T09:50:12Z,1,N.A
,https://github.com/tensorflow/tensorflow/issues/61646,yes,2.13.0,tf.config.experimental_connect_to_host,Vulnerability,AssertionError,Aborted,"E0819 19:02:10.839114974  187448 completion_queue.cc:244]    assertion failed: queue.num_items() == 0
Aborted",API Input Context,Modeling Specific Inputs,,,,,2023-01-22T16:31:20Z,1,cu118
,https://github.com/tensorflow/tensorflow/issues/61601,yes,2.13.0,tf.keras.layers.MaxPooling2D,Vulnerability,Check failed,Check failed,"{""pid"":7,""type"":""jupyter"",""level"":40,""msg"":""2023-08-17 14:34:29.104423: F tensorflow/compiler/xla/stream_executor/cuda/cuda_dnn.cc:959] Check failed: cudnnSetPoolingNdDescriptor( handle_.get(), (pooling_descriptor.mode() == dnn::PoolingMode::kMaximum ? cudnn_max_pooling_mode : CUDNN_POOLING_AVERAGE_COUNT_EXCLUDE_PADDING), propagate_nans ? CUDNN_PROPAGATE_NAN : CUDNN_NOT_PROPAGATE_NAN, nd, shape.data(), padding.data(), strides.data()) == CUDNN_STATUS_SUCCESS (3 vs. 0)"",""time"":""2023-08-17T14:34:29.104Z"",""v"":0}",API Input Context,Large List Element,,,,,2023-01-22T15:48:36Z,1,cu118
,https://github.com/tensorflow/tensorflow/issues/59398,no,2.11.0,tf.train.CheckpointManager,Vulnerability,FailedPreconditionError,_NotOkStatusException,_NotOkStatusException: FailedPreconditionError: {{function_node __wrapped__SerializeIterator_device_/job:localhost/replica:0/task:0/device:CPU:0}} PyFunc is stateful. [Op:SerializeIterator],Test Case Context,Modeling Multiple API Usage Pattern,dependency issue,1,"the incorrect exception handling is an additional suggestion, not the trigger
The trigger is dependency problem",,2023-01-22T15:36:06Z,1,N.A
FuzzGPT,https://github.com/tensorflow/tensorflow/issues/61600,yes,2.13.0,tf.linalg.diag,Vulnerability,integer overflow,Encountered overflow,"Error:{{function_node __wrapped__MatrixDiagV3_device_/job:localhost/replica:0/task:0/device:GPU:0}} Encountered overflow when multiplying 12884901888 with 1610612736, result: -1
         [[{{node MatrixDiagV3}}]] [Op:MatrixDiagV3]",API Input Context,Large Integer Argument,,,,,2023-01-21T19:10:02Z,1,cu118
,https://github.com/tensorflow/tensorflow/issues/61603,yes,2.13.0,tf.compat.v1.keras.layers.MaxPool2D,Vulnerability,Check failed,Aborted,"2023-08-21 12:02:17.503892: F tensorflow/compiler/xla/stream_executor/cuda/cuda_dnn.cc:983] Check failed: cudnnSetPoolingNdDescriptor( handle_.get(), (pooling_descriptor.mode() == dnn::PoolingMode::kMaximum ? cudnn_max_pooling_mode : CUDNN_POOLING_AVERAGE_COUNT_EXCLUDE_PADDING), propagate_nans ? CUDNN_PROPAGATE_NAN : CUDNN_NOT_PROPAGATE_NAN, nd, shape.data(), padding.data(), strides.data()) == CUDNN_STATUS_SUCCESS (3 vs. 0)
Aborted",API Input Context,Large List Element,,,,,2023-01-21T17:53:30Z,1,cu118
,https://github.com/tensorflow/tensorflow/issues/52064,yes,2.11.0,tf.keras.layers.Conv1D,Logical,RuntimeError,failed to prepare,RuntimeError: tensorflow/lite/kernels/reshape.cc:69 num_input_elements != num_output_elements (25000 != 0)Node number 2 (RESHAPE) failed to prepare.,API Input Context,Modeling Specific Inputs,,,,,2023-01-06T14:16:14Z,1,N.A
,https://github.com/tensorflow/tensorflow/issues/58790,yes,2.11.0,tf.math.cumsum,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Inputs,"My guess is that when doing cumsum on a ragged dimension, the summation is actually somehow carried out on the entirety of flat values, and then some subtractions based on row_splits turn the long cumsum list to the result at each dimension.",,,,2022-12-05T23:37:00Z,1,cu117
,https://github.com/tensorflow/tensorflow/issues/58628,yes,2.11.0,tf.distribute.experimental.rpc.Server,Performance bug,Performance bug,Memory Leak,Memory Leak,API Input Context,Oracle for Performance Bug Detection,,,,,2022-11-21T06:35:21Z,1,cu112
,https://github.com/tensorflow/tensorflow/issues/65675,yes,2.13.0,tf.data.Dataset.from_generator,Performance bug,Performance bug,Memory Leak,Memory Leak,API Input Context,Oracle for Performance Bug Detection,,,,,2024-04-14T19:02:53Z,,
,https://github.com/tensorflow/tensorflow/issues/62280,yes,2.14.0,tf.raw_ops.Acos,Logical,InvalidArgumentError,InvalidArgumentError,"    raise errors.InvalidArgumentError(
tensorflow.python.framework.errors_impl.InvalidArgumentError: Expected 'tf.Tensor(False, shape=(), dtype=bool)' to be true. Summarized data: b''",API Input Context,Modeling Specific Inputs,,,,,2023-10-30T12:59:35Z,,
,https://github.com/tensorflow/tensorflow/issues/62263,yes,2.14.0,tf.raw_ops.SqrtGrad,Logical,InvalidArgumentError,InvalidArgumentError,"    raise errors.InvalidArgumentError(
tensorflow.python.framework.errors_impl.InvalidArgumentError: Expected 'tf.Tensor(False, shape=(), dtype=bool)' to be true. Summarized data: b''",Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,,2023-10-28T02:08:02Z,,
,https://github.com/tensorflow/tensorflow/issues/62220,yes,2.14.0,tf.raw_ops.Asinh,Logical,InvalidArgumentError,InvalidArgumentError,"    raise errors.InvalidArgumentError(
tensorflow.python.framework.errors_impl.InvalidArgumentError: Expected 'tf.Tensor(False, shape=(), dtype=bool)' to be true. Summarized data: b''",API Input Context,Modeling Specific Inputs,,,,,2023-10-25T07:04:01Z,,
,https://github.com/tensorflow/tensorflow/issues/62205,yes,2.13.0,tf.image.resize,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Inputs,,,,,2023-10-24T08:24:07Z,,
,https://github.com/tensorflow/tensorflow/issues/62169,yes,2.14.0,tf.split_v,Vulnerability,Segmentation Fault,segmentation fault,[1]    13162 segmentation fault (core dumped)  ./benchmark_model --graph=../poc/split_v.tflite,Others,Others,,,,,2023-10-19T06:26:51Z,,
,https://github.com/tensorflow/tensorflow/issues/62168,yes,2.14.0,tf.reduce_prod,Vulnerability,Segmentation Fault,segmentation fault,[1]    13162 segmentation fault (core dumped)  ./benchmark_model --graph=../poc/split_v.tflite,Others,Others,,,,,2023-10-19T06:23:32Z,,
,https://github.com/tensorflow/tensorflow/issues/62167,yes,2.14.0,tf.pad,Vulnerability,Segmentation Fault,segmentation fault,[1]    13162 segmentation fault (core dumped)  ./benchmark_model --graph=../poc/split_v.tflite,Others,Others,,,,,2023-10-19T06:20:18Z,,
,https://github.com/tensorflow/tensorflow/issues/62166,yes,2.14.0,tf.onehot,Vulnerability,Segmentation Fault,segmentation fault,[1]    13162 segmentation fault (core dumped)  ./benchmark_model --graph=../poc/split_v.tflite,Others,Others,,,,,2023-10-19T06:16:31Z,,
,https://github.com/tensorflow/tensorflow/issues/62089,yes,2.13.0,tf.nn.depthwise_conv2d,Vulnerability,Others,_NotOkStatusException,"     55   except core._NotOkStatusException as e:

UnknownError: Graph execution error:",Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,,2023-10-11T12:42:52Z,,
,https://github.com/tensorflow/tensorflow/issues/61907,yes,2.13.0,tf.linalg.cholesky,Logical,NotFoundError,Could not find device for node,"NotFoundError: Could not find device for node: {{node Cholesky}} = Cholesky[T=DT_HALF]
All kernels registered for op Cholesky:",API Input Context,Supporting Specific Data Types,,,,,2023-09-19T05:37:10Z,,
,https://github.com/tensorflow/tensorflow/issues/61390,yes,2.11.0,tf.keras.layers.Dense,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Large Input Tensor,,,,,2023-07-25T19:38:25Z,,
,https://github.com/tensorflow/tensorflow/issues/61328,no,2.13.0,tf.keras.applications.efficientnet.EfficientNetB0,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Inputs,,,,,2023-07-19T12:58:52Z,,
,https://github.com/tensorflow/tensorflow/issues/61313,yes,2.12.0,tf.data.Dataset.from_generator,Performance bug,Performance bug,Should be larger than,ResourceExhaustedError: {{function_node __wrapped__IteratorGetNext_output_types_2_device_/job:localhost/replica:0/task:0/device:CPU:0}} Output buffer(size: 262144 bytes) too small. Should be larger than 19267611 bytes. [Op:IteratorGetNext],API Input Context,Large Input Tensor,,,,,2023-07-18T14:37:30Z,,
,https://github.com/tensorflow/tensorflow/issues/61162,yes,2.12.0,tf.data.Dataset.list_files,Logical,ValueError,Shape must be rank 0 but is rank,ValueError: Shape must be rank 0 but is rank 1 for '{{node ReadFile}} = ReadFile[](args_0)' with input shapes: [?].,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,,2023-07-03T13:08:00Z,,
,https://github.com/tensorflow/tensorflow/issues/61157,yes,2.13.0,tf.StridedSlice,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Generating Tensors with Incompatible Shapes,,,,,2023-07-03T07:56:16Z,,
FuzzGPT,https://github.com/tensorflow/tensorflow/issues/61060,yes,2.14.0,tf.linalg.LinearOperatorFullMatrix,Logical,ValueError,object of type,ValueError: TypeError: object of type 'LinearOperatorFullMatrix' has no len(),API Input Context,Modeling Specific Inputs,,,,,2023-06-22T13:59:15Z,,
,https://github.com/tensorflow/tensorflow/issues/60772,yes,2.12.0,tf.math.count_nonzero,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Large Input Tensor,,,,,2023-06-03T18:23:30Z,,
,https://github.com/tensorflow/tensorflow/issues/60654,yes,2.11.0,tf.math.abs,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Inputs,,,,,2023-05-22T09:00:53Z,,
,https://github.com/tensorflow/tensorflow/issues/60628,no,2.11.0,tf.experimental.numpy.vander,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Zero Integer Argument,,,,,2023-05-18T15:11:22Z,,
,https://github.com/tensorflow/tensorflow/issues/60549,yes,2.14.0,tf.signal.stft,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Inputs,,,,,2023-05-09T20:14:39Z,,
,https://github.com/tensorflow/tensorflow/issues/60485,yes,2.14.0,tf.math.cumsum,Logical,InvalidArgumentError,"OpKernel was found, but attributes didn't match","InvalidArgumentError: Detected unsupported operations when trying to compile graph __inference_cumsum_7[_XlaMustCompile=true,config_proto=3175580994766145631,executor_type=11160318154034397263] on XLA_CPU_JIT: Cumsum (No registered 'Cumsum' OpKernel for XLA_CPU_JIT devices compatible with node {{node Cumsum}}
         (OpKernel was found, but attributes didn't match) Requested Attributes: T=DT_INT8, Tidx=DT_INT32, exclusive=false, reverse=false){{node Cumsum}}",API Input Context,Supporting Specific Data Types,,,,,2023-05-03T16:51:04Z,,
,https://github.com/tensorflow/tensorflow/issues/60472,yes,2.14.0,tf.loop,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,,2023-05-02T16:34:56Z,,
,https://github.com/tensorflow/tensorflow/issues/60472,yes,2.14.0,tf.slice,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,,2023-05-02T16:34:56Z,,
,https://github.com/tensorflow/tensorflow/issues/60472,yes,2.14.0,tf.TensorArray,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,,2023-05-02T16:34:56Z,,
,https://github.com/tensorflow/tensorflow/issues/60262,no,2.13.0,tf.keras.callbacks.TensorBoard,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Inputs,,,,,2023-04-07T03:33:16Z,,
,https://github.com/tensorflow/tensorflow/issues/60239,yes,2.12.0,tf.data.Dataset.ragged_batch,Logical,InvalidArgumentError,Traceback (most recent call last),"InvalidArgumentError: {{function_node __wrapped__IteratorGetNext_output_types_1_device_/job:localhost/replica:0/task:0/device:CPU:0}} ValueError: Value [1 2] is not convertible to a tensor with dtype <dtype: 'variant'> and shape ().
Traceback (most recent call last):",Test Case Context,Modeling Multiple API Usage Pattern,,,,,2023-04-05T10:26:05Z,,
,https://github.com/tensorflow/tensorflow/issues/60149,yes,2.13.0,tf.data.Dataset.from_generator,Vulnerability,Check failed,Aborted (core dumped),"2023-03-28 12:06:28.440209: F tensorflow/tsl/platform/default/env.cc:74] Check failed: ret == 0 (11 vs. 0)Thread tf_data_private_threadpool creation via pthread_create() failed.
Aborted (core dumped)",API Input Context,Modeling Specific Inputs,,,,,2023-03-28T17:06:53Z,,
,https://github.com/tensorflow/tensorflow/issues/60121,yes,2.13.0,tf.raw_ops.AssignAddVariableOp,Vulnerability,Check failed,Aborted (core dumped),"2023-03-26 18:39:30.729731: F tensorflow/core/framework/tensor.cc:770] Check failed: dtype() == expected_dtype (3 vs. 1) float expected, got int32
Aborted (core dumped",API Input Context,Empty Input Tensor,,,,,2023-03-27T02:53:54Z,,
,https://github.com/tensorflow/tensorflow/issues/59702,yes,2.13.0,tf.cast,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Negative Input Tensor,,,,,2023-02-15T20:59:06Z,,
FuzzGPT,https://github.com/tensorflow/tensorflow/issues/60418,no,2.11.0,tf.saved_model.save,Logical,Others,because it is not built,"WARNING:tensorflow:Skipping full serialization of Keras layer <object_detection.meta_architectures.ssd_meta_arch.SSDMetaArch object at 0x7f45581d7340>, because it is not built.
WARNING:tensorflow:Skipping full serialization of Keras layer <object_detection.predictors.convolutional_keras_box_predictor.WeightSharedConvolutionalBoxPredictor object at 0x7f4558265760>, because it is not built.",API Input Context,Modeling Specific Inputs,,,,,2023-01-30T13:40:26Z,,
,https://github.com/tensorflow/tensorflow/issues/59215,yes,2.11.0,tf.debugging.enable_check_numerics,Logical,InvalidArgumentError,Graph execution error,InvalidArgumentError: Graph execution error:,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,,2023-01-10T14:12:55Z,,
,https://github.com/tensorflow/tensorflow/issues/59099,yes,2.11.0,tf.raw_ops.TensorListScatterV2,Logical,TypeError,EagerTensor of dtype variant,TypeError: Cannot convert 1 to EagerTensor of dtype variant,API Input Context,Modeling Specific Inputs,,,,,2023-01-04T20:44:47Z,,
FreeFuzz,https://github.com/tensorflow/tensorflow/issues/57935,no,2.11.0,tf.experimental.numpy.remainder,Vulnerability,InvalidArgumentError,Integer division by zero,InvalidArgumentError: {{function_node __wrapped__FloorDiv_device_/job:localhost/replica:0/task:0/device:CPU:0}} Integer division by zero [Op:FloorDiv],API Input Context,Zero Integer Argument,,,,,2022-10-01T21:59:46Z,,
,https://github.com/tensorflow/tensorflow/issues/57935,no,2.11.0,tf.experimental.numpy.floor_divide,Vulnerability,InvalidArgumentError,Integer division by zero,InvalidArgumentError: {{function_node __wrapped__FloorDiv_device_/job:localhost/replica:0/task:0/device:CPU:0}} Integer division by zero [Op:FloorDiv],API Input Context,Zero Integer Argument,,,,,2022-10-01T21:59:46Z,,
,https://github.com/tensorflow/tensorflow/issues/57838,yes,2.11.0,tf.keras.layers.Conv2D,Logical,InvalidArgumentError,Trying to access resource,InvalidArgumentError: Trying to access resource Resource-2-at-0x234d2850 located in device /job:localhost/replica:0/task:0/device:CPU:0 from device /job:localhost/replica:0/task:0/device:GPU:0 [Op:__inference___call___77],Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,,2022-09-26T03:32:38Z,,
,https://github.com/tensorflow/tensorflow/issues/57748,yes,2.11.0,tf.keras.layers.Conv2D,Logical,Others,CUDNN_STATUS_NOT_SUPPORTED,tensorflow.python.framework.errors_impl.UnknownError: CUDNN_STATUS_NOT_SUPPORTED,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,,2022-09-19T11:24:41Z,,
,https://github.com/tensorflow/tensorflow/issues/57744,yes,2.11.0,tf.math.log,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,,2022-09-19T09:15:05Z,,
,https://github.com/tensorflow/tensorflow/issues/57664,yes,2.11.0,tf.keras.layers.Conv2D,Logical,ValueError,Exception encountered,"
    ValueError: Exception encountered when calling layer ""conv2d"" ""                 f""(type Conv2D).
    
    Negative dimension size caused by subtracting 2 from 1 for '{{node conv2d/Conv2D}} = Conv2D[T=DT_FLOAT, data_format=""NHWC"", dilations=[1, 1, 1, 1], explicit_paddings=[], padding=""VALID"", strides=[1, 1, 1, 1], use_cudnn_on_gpu=true](x, conv2d/Conv2D/ReadVariableOp)' with input shapes: [2,1,2,2], [2,2,2,1].
    
    Call arguments received by layer ""conv2d"" ""                 f""(type Conv2D):
      • inputs=tf.Tensor(shape=(2, 1, 2, 2), dtype=float32)",Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,,2022-09-11T09:08:08Z,,
