Detected,Related to Tensor,Time,Version,CUDA,Category Impact,Impact,Buggy API,Log Rule,Log Rule 2,Log Message,Issue,Category,Trigger,Need More Inspection,Reason not agree
,yes,2023-09-16T04:08:35Z,2.0.1,cu117,Logical,ValueError,torch.onnx.export,symbolic expected,N\A,"torch.onnx.errors.SymbolicValueError: ONNX symbolic expected the output of `%permute : Tensor(*, *, *) = onnx::Transpose[perm=[0, 2, 1]](%quantize_per_tensor), scope: torch.fx.graph_module.GraphModule:: # <eval_with_key>.6:8:14",https://github.com/pytorch/pytorch/issues/109425,Test Case Context+API Input Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Parameter Space,,
,yes,2023-07-31T09:19:44Z,2.0.1,cu117,Logical,Inconsistent results,torch.onnx.export,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/106298,API Input Context,Modeling Parameter Space,,
,yes,2023-07-18T08:59:37Z,2.0.1,cu117,Logical,ValueError,torch.onnx.export,export of convolution,N\A,"torch.onnx.errors.SymbolicValueError: Unsupported: ONNX export of convolution for kernel of unknown shape.  [Caused by the value '0 defined in (%0 : Float(1, 3, 10, 10, strides=[300, 100, 10, 1], requires_grad=0, device=cpu) = prim::Param()",https://github.com/pytorch/pytorch/issues/105454,Test Case Context+API Input Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Parameter Space,,
,yes,2023-06-29T10:05:56Z,2.0.1,cu117,Logical,Others,torch.onnx.export,ONNXRuntimeError,N\A,onnxruntime.capi.onnxruntime_pybind11_state.InvalidGraph: [ONNXRuntimeError] : 10 : INVALID_GRAPH : ,https://github.com/pytorch/pytorch/issues/104403,Test Case Context+API Input Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Parameter Space,,
,yes,2023-09-29T15:52:26Z,2.0.1,N.A,Logical,TypeError,torch.ones,unsupported ScalarType,N\A,TypeError: Got unsupported ScalarType BFloat16,https://github.com/pytorch/pytorch/issues/110285,API Input Context,Modeling Specific Data Types,,
,yes,2023-06-01T15:24:36Z,2.0.1,N.A,Logical,Inconsistent results,torch.nn.utils.parametrizations.orthogonal,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/102740,API Input Context,Modeling Specific Data Types,,
,no,2023-07-20T02:41:58Z,2.0.1,cu117,Vulnerability,Others,torch.nn.TransformerDecoderLayer,integer division,N\A,ZeroDivisionError: integer division or modulo by zero,https://github.com/pytorch/pytorch/issues/105632,API Input Context,Zero Integer Argument,,
,yes,2023-09-13T10:27:51Z,2.0.1,cu118,Logical,Inconsistent results,torch.nn.parallel.DistributedDataParallel,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/109191,Test Case Context+API Input Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Parameter Space,,
,yes,2023-08-14T09:18:31Z,2.0.1,N.A,Logical,Inconsistent results,torch.nn.MaxPool2d,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/107125,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Multiple API Usage Pattern,,
,yes,2023-08-05T12:53:17Z,2.0.1,cu117,Logical,Inconsistent results,torch.nn.Linear,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/106665,Test Case Context,Model Tensor Execution on CUDA Devices,,
,yes,2023-05-15T17:57:33Z,2.0.1,cu117,Performance bug,Performance bug,torch.nn.Sequential,Slow Execution,N\A,Slow Execution,https://github.com/pytorch/pytorch/issues/101428,Test Case Context,Oracle for Performance Bug Detection,,
,yes,2023-07-17T08:38:49Z,2.0.1,cu118,Logical,RuntimeError,torch.nn.LeakyReLU,INTERNAL ASSERT,N\A,"RuntimeError: 0 INTERNAL ASSERT FAILED at ""../torch/csrc/jit/ir/alias_analysis.cpp"":615, please report a bug to PyTorch. We don't have an op for aten::leaky_relu but it isn't a special case.  Argument types: Tensor, bool, ",https://github.com/pytorch/pytorch/issues/105313,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,
,yes,2023-08-30T10:24:22Z,2.0.1,cu117,Logical,TypeError,torch.nn.functional.pad,Expected a value,N\A,"aten::pad(Tensor self, SymInt[] pad, str mode=""constant"", float? value=None) -> Tensor: Expected a value of type 'Optional[float]' for argument 'value' but instead found type 'bool'.",https://github.com/pytorch/pytorch/issues/108226,API Input Context,Modeling Specific Data Types,,
FreeFuzz,yes,2023-08-31T11:06:47Z,2.0.1,N.A,Logical,AssertionError,torch.nn.functional.cross_entropy,Assertion,N\A,"../aten/src/ATen/native/cuda/NLLLoss2d.cu:107: nll_loss2d_forward_kernel: block: [188,0,0], thread: [32,0,0] Assertion input_index >= 0failed. ../aten/src/ATen/native/cuda NLLLoss2d.cu:107: nll_loss2d_forward_kernel: ",https://github.com/pytorch/pytorch/issues/108345,API Input Context,Modeling Parameter Space,,
,yes,2023-08-22T12:04:15Z,2.0.1,CPU,Logical,Inconsistent results,torch.nn.functional.cross_entropy,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/107680,API Input Context,Modeling Parameter Space,,
,yes,2023-07-04T19:02:39Z,2.0.1,N.A,Logical,RuntimeError,torch.nn.functional.conv1d,please report a bug to PyTorch,N\A,"RuntimeError: isList() INTERNAL ASSERT FAILED at ""/Users/runner/work/pytorch/pytorch/pytorch/aten/src/ATen/core/ivalue_inl.h"":2034, please report a bug to PyTorch. Expected GenericList but got String",https://github.com/pytorch/pytorch/issues/104606,Test Case Context+API Input Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Parameter Space,,
,yes,2023-09-17T06:11:15Z,2.0.1,N.A,Logical,Inconsistent results,torch.nn.ConvTranspose2d,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/109453,Test Case Context,Model Tensor Execution on CUDA Devices,,
,yes,2023-07-06T12:17:30Z,2.0.1,cu117,Performance bug,Performance bug,torch.nn.Conv3d,Memory Leak,N\A,Memory Leak,https://github.com/pytorch/pytorch/issues/104701,Test Case Context,Oracle for Performance Bug Detection,,
,yes,2023-10-02T13:34:23Z,2.0.1,N.A,Logical,Inconsistent results,torch.nn.Conv2d,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/110387,Test Case Context+API Input Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Parameter Space,,
,no,2023-09-15T16:31:52Z,2.0.1,N.A,Logical,RuntimeError,torch.distributed.fsdp.FullyShardedDataParallel,view of its base has been modified inplace,N\A,RuntimeError: Output 0 of ViewBackward0 is a view and its base or another view of its base has been modified inplace. This view is the output of a function that returns multiple views. Such functions do not allow the output views to be modified inplace. You should replace the inplace operation by an out-of-place one.,https://github.com/pytorch/pytorch/issues/109385,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,
,yes,2023-07-10T07:06:15Z,2.0.1,cu117,Logical,RuntimeError,torch.nn.Conv2d,Invalid padding size,N\A,"RuntimeError: Invalid padding size, expected 2 but got 4",https://github.com/pytorch/pytorch/issues/104860,API Input Context,Modeling Parameter Space,,
,yes,2023-05-16T07:34:32Z,2.0.1,cu118,Performance bug,Performance bug,torch.nn.Conv2d,Slow Execution,N\A,Slow Execution,https://github.com/pytorch/pytorch/issues/101529,Test Case Context,Oracle for Performance Bug Detection,,
,yes,2023-08-28T07:45:45Z,2.0.1,cu118,Logical,RuntimeError,torch.nn.ConstantPad2d,Trying to create tensor,N\A,RuntimeError: Trying to create tensor with negative dimension -1: [-1],https://github.com/pytorch/pytorch/issues/108043,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Multiple API Usage Pattern,,
DeepRel,yes,2023-07-20T02:38:55Z,2.0.1,cu117,Logical,RuntimeError,torch.nn.ConstantPad2d,must be non-negative,N\A,RuntimeError: narrow(): length must be non-negative.,https://github.com/pytorch/pytorch/issues/105629,API Input Context,Negative Integer Argument,,
,yes,2023-07-20T02:38:55Z,2.0.1,cu117,Logical,RuntimeError,torch.nn.ConstantPad2d,must be non-negative,N\A,RuntimeError: narrow(): length must be non-negative.,https://github.com/pytorch/pytorch/issues/105629,API Input Context,Zero Integer Argument,,
,yes,2023-10-04T14:38:10Z,2.0.1,cu118,Logical,RuntimeError,torch.nested.as_nested_tensor,memory format for Nested Tensors,N\A,RuntimeError: empty_like only supports contiguous memory format for Nested Tensors,https://github.com/pytorch/pytorch/issues/110516,Test Case Context,Modeling Multiple API Usage Pattern,,
,yes,2023-09-04T15:54:12Z,2.0.1,cu117,Logical,Inconsistent results,torch.Tensor.mm,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/108521,API Input Context,Modeling Parameter Space,,
,yes,2023-10-18T05:12:55Z,2.0.1,cu117,Logical,Inconsistent results,torch.matmul,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/111457,API Input Context,Modeling Specific Data Types,,
,no,2023-05-26T04:14:33Z,2.0.1,N.A,Performance bug,Performance bug,torch.load,Memory Leak,N\A,Memory Leak,https://github.com/pytorch/pytorch/issues/102334,Test Case Context,Oracle for Performance Bug Detection,,
,no,2023-07-11T12:33:15Z,2.0.1,N.A,Logical,RuntimeError,torch.amp.autocast,INTERNAL ASSERT FAILED,N\A,"RuntimeError: isInt() INTERNAL ASSERT FAILED at ""../aten/src/ATen/core/ivalue.h"":626, please report a bug to PyTorch. ",https://github.com/pytorch/pytorch/issues/104959,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Multiple API Usage Pattern,,
,yes,2023-10-16T14:31:23Z,2.0.1,cu117,Logical,Inconsistent results,torch.jit.script,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/111373,Test Case Context,Model Tensor Execution on CUDA Devices,,
,yes,2023-09-06T17:19:07Z,2.0.1,cu118,Logical,Inconsistent results,torch.jit.script,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/108670,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,
,no,2023-08-07T11:23:50Z,2.0.1,CPU,Logical,RuntimeError,torch.jit.script,undefined value torch,N\A,RuntimeError: undefined value torch:,https://github.com/pytorch/pytorch/issues/106699,Test Case Context,Modeling Compile/Eager Execution Mode,,
,yes,2023-08-20T10:27:30Z,2.0.1,CPU,Logical,Inconsistent results,torch.fx.symbolic_trace,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/107538,Test Case Context,Modeling Multiple API Usage Pattern+Modeling Compile/Eager Execution Mode,,
,yes,2023-09-28T21:49:11Z,2.0.1,cu118,Logical,TypeError,torch.func.functional_call,not an instance of,N\A,"raise TypeError(f""{tensor} is not an instance of torch.Tensor"")",https://github.com/pytorch/pytorch/issues/110249,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,
DeepRel,yes,2023-07-10T12:19:05Z,2.0.1,cu117,Logical,Inconsistent results,torch.fft.irfftn,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/104867,Test Case Context,Modeling Multiple API Usage Pattern,,
,yes,2023-08-08T13:32:31Z,2.0.1,cu118,Logical,Inconsistent results,torch.fake_quantize_per_tensor_affine,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/106780,API Input Context,Modeling Parameter Space,,
,yes,2023-09-26T19:56:04Z,2.0.1,N.A,Logical,AssertionError,torch.onnx.export,doesn't match mode,N\A,AssertionError: fake mode (<torch._subclasses.fake_tensor.FakeTensorMode object at 0x7fe4259ac760>) from active fake mode 0 doesn't match mode (<torch._subclasses.fake_tensor.FakeTensorMode object at 0x7fe355ae0760>) from fake tensor input 0,https://github.com/pytorch/pytorch/issues/110100,Test Case Context+API Input Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Parameter Space,,
,yes,2023-06-26T07:44:44Z,2.0.1,cu117,Performance bug,Performance bug,torch.distributed.scatter,Memory Leak,N\A,Memory Leak,https://github.com/pytorch/pytorch/issues/104174,Test Case Context,Oracle for Performance Bug Detection,,
,yes,2023-08-17T03:02:53Z,2.0.1,cu117,Logical,Inconsistent results,torch.distributed.dist.scatter,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/107352,API Input Context,Inputs with Incompatible Shapes,,
,no,2023-08-30T03:12:34Z,2.0.1,cu118,Logical,Others,torch.distributed.all_reduce,exception not rethrown,N\A,FATAL: exception not rethrown,https://github.com/pytorch/pytorch/issues/108210,Test Case Context,Modeling Multiple API Usage Pattern,,
,yes,2023-09-03T17:42:17Z,2.0.1,cu117,Performance bug,Performance bug,torch.Tensor.cummax,Slow Execution,N\A,Slow Execution,https://github.com/pytorch/pytorch/issues/108496,Test Case Context,Oracle for Performance Bug Detection,,
,yes,2023-10-06T18:31:54Z,2.0.1,N.A,Logical,RuntimeError,torch.compile,Failed running,N\A,"RuntimeError: Failed running call_function <built-in function add>(*(s0 > 1, s0 < 3), **{}):",https://github.com/pytorch/pytorch/issues/110738,API Input Context,Modeling Parameter Space,,
,no,2023-09-14T18:36:01Z,2.0.1,N.A,Logical,Unsupported Error,torch.compile,GenericContextWrappingVariable,N\A,torch._dynamo.exc.Unsupported: call_method GenericContextWrappingVariable() enter_context [GenericContextWrappingVariable()] {},https://github.com/pytorch/pytorch/issues/109309,Test Case Context,Supporting External Library API,,
,yes,2023-11-15T12:35:57Z,2.1.0,,Logical,Others,torch.nn.Upsample,Failed to export the model,N\A,"torch.onnx.OnnxExporterError: Failed to export the model to ONNX. Generating SARIF report at 'report_dynamo_export.sarif'. SARIF is a standard format for the output of static analysis tools. SARIF logs can be loaded in VS Code SARIF viewer extension, or SARIF web viewer (https://microsoft.github.io/sarif-web-component/). Please report a bug on PyTorch Github: https://github.com/pytorch/pytorch/issues",https://github.com/pytorch/pytorch/issues/113755,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Multiple API Usage Pattern,,
,yes,2023-08-15T14:24:15Z,2.0.1,cu117,Logical,Unsupported Error,torch.compile,inline in skipfiles,N\A,Unsupported: inline in skipfiles: _SpecialForm.__getitem__  | inner /opt/conda/lib/python3.10/typing.py,https://github.com/pytorch/pytorch/issues/107232,Test Case Context,Modeling Compile/Eager Execution Mode,,
,yes,2023-08-14T14:16:25Z,2.0.1,CPU,Logical,AttributeError,torch.compile,has no attribute,N\A,AttributeError: module '__main__' has no attribute 'MySubClass',https://github.com/pytorch/pytorch/issues/107143,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Multiple API Usage Pattern,,
,yes,2023-08-12T02:59:47Z,2.0.1,N.A,Logical,Graph break,torch.compile,Graph break,N\A,Graph break,https://github.com/pytorch/pytorch/issues/107076,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,
,yes,2023-07-21T22:03:11Z,2.0.1,N.A,Performance bug,Performance bug,torch.compile,Memory Leak,N\A,Memory Leak,https://github.com/pytorch/pytorch/issues/105768,Test Case Context,Oracle for Performance Bug Detection,,
,no,2023-07-13T21:45:35Z,2.0.1,cu117,Performance bug,Performance bug,torch.compile,Memory Leak,N\A,Memory Leak,https://github.com/pytorch/pytorch/issues/105181,Test Case Context,Oracle for Performance Bug Detection,,
,yes,2023-06-23T08:08:38Z,2.0.1,cu117,Performance bug,Performance bug,torch.nn.Sequential,Memory Leak,N\A,Memory Leak,https://github.com/pytorch/pytorch/issues/104095,Test Case Context,Oracle for Performance Bug Detection,,
,yes,2023-07-02T06:25:03Z,2.0.1,cu118,Logical,AttributeError,torch.Tensor.as_strided_,raised AttributeError,N\A,BackendCompilerFailed: debug_wrapper raised AttributeError: The underlying op of 'aten.sym_storage_offset' has no overload name 'name',https://github.com/pytorch/pytorch/issues/104505,Test Case Context,Modeling Multiple API Usage Pattern+Modeling Compile/Eager Execution Mode,,
,yes,2023-10-04T14:35:59Z,2.0.1,cu117,Logical,Inconsistent results,torch.ao.quantization.quantize_dynamic,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/110515,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Compile/Eager Execution Mode,,
,no,2023-09-06T06:21:49Z,2.0.1,cu117,Logical,Inconsistent results,torch.amp.autocast,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/108627,Test Case Context,Model Tensor Execution on CUDA Devices,,
,yes,2023-10-02T23:53:57Z,2.0.1,N.A,Logical,RuntimeError,torch.func.jacrev,Cannot access data pointer,N\A,RuntimeError: Cannot access data pointer of Tensor that doesn't have storage,https://github.com/pytorch/pytorch/issues/110422,Test Case Context,Model Tensor Execution on CUDA Devices,,
,no,2023-06-08T17:05:25Z,2.1.0,cu118,Performance bug,Performance bug,torch.nn.parallel.DistributedDataParallel,Performance bug,N\A,High PCIe traffic,https://github.com/pytorch/pytorch/issues/103254,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,
,yes,2023-04-20T19:17:12Z,2.1.0,cu118,Logical,RuntimeError,torch.nn.parallel.DistributedDataParallel,Input Tensor data type,N\A,RuntimeError: Input Tensor data type is not supported for NCCL process group: ComplexFloat,https://github.com/pytorch/pytorch/issues/99652,Test Case Context+API Input Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Parameter Space,,
,yes,2023-03-24T14:47:03Z,2.1.0,cu118,Logical,Others,torch.nn.TransformerEncoderLayer,Converting mask without,N\A,UserWarning,https://github.com/pytorch/pytorch/issues/97532,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,
,no,2023-08-17T16:53:23Z,2.1.0,CPU,Logical,Others,torch.utils.data.random_split,has incompatible type,N\A,"error: Argument 1 to ""random_split"" has incompatible type ""range""; expected ""Dataset[<nothing>]""",https://github.com/pytorch/pytorch/issues/107392,API Input Context,Modeling Parameter Space,,
,yes,2023-10-13T14:05:58Z,2.1.0,cu118,Logical,AttributeError,torch.utils.checkpoint.checkpoint,has no attribute,N\A,AttributeError: 'Tensor' object has no attribute 'huhu',https://github.com/pytorch/pytorch/issues/111206,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,
,yes,2023-10-18T21:16:16Z,2.1.0,N.A,Logical,RuntimeError,torch.Tensor.sum,operands have incompatible,N\A,"RuntimeError: sparse_mask(): operands have incompatible sizes; self has size [2449029, 1] but mask has size [2449029, 2449029]",https://github.com/pytorch/pytorch/issues/111509,API Input Context,Modeling Parameter Space,,
,yes,2023-10-07T03:30:06Z,2.1.0,N.A,Logical,Inconsistent results,torch.Tensor.set_,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/110780,Test Case Context,Modeling Multiple API Usage Pattern,,
,yes,2023-08-21T14:03:25Z,2.1.0,cu118,Logical,RuntimeError,torch.Tensor.repeat_interleave,Expected all tensors to be on the same device,N\A,"RuntimeError: Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu! (when checking argument for argument index in method wrapper_CUDA__index_select)",https://github.com/pytorch/pytorch/issues/107591,Test Case Context,Modeling Compile/Eager Execution Mode,,
,yes,2023-04-05T16:34:29Z,2.1.0,cu118,Logical,Inconsistent results,torch.Tensor.flip,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/98422,Test Case Context,Modeling Compile/Eager Execution Mode,,
,yes,2023-10-19T01:19:27Z,2.1.0,N.A,Logical,ValueError,torch.Tensor.dims,is unbound,N\A,ValueError: dimension d0 is unbound,https://github.com/pytorch/pytorch/issues/111525,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,
,yes,2023-10-24T15:37:51Z,2.1.0,,Logical,Others,torch.logical_and,An output with one or more elements,N\A,"UserWarning: An output with one or more elements was resized since it had shape [2, 128], which does not match the required output shape [4, 2, 128]. This behavior is deprecated, and in a future PyTorch release outputs will not be resized unless they have zero elements. You can explicitly reuse an out tensor t by resizing it, inplace, to zero elements with t.resize_(0). (Triggered internally at /opt/conda/conda-bld/pytorch_1695392022560/work/aten/src/ATen/native/Resize.cpp:28.)
  torch.logical_and(b, a)",https://github.com/pytorch/pytorch/issues/111925,API Input Context,Inputs with Incompatible Shapes,,
,yes,2023-09-12T13:27:01Z,2.1.0,CPU,Logical,TypeError,torch.sparse_coo_tensor,only integer tensors of a single element,N\A,# TypeError: only integer tensors of a single element can be converted to an index,https://github.com/pytorch/pytorch/issues/109108,API Input Context,Modeling Parameter Space,,
,yes,2023-07-24T03:52:52Z,2.1.0,N.A,Logical,Inconsistent results,torch.Tensor.scatter,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/105822,Test Case Context,Modeling Multiple API Usage Pattern+Modeling Compile/Eager Execution Mode,,
,yes,2023-08-12T16:21:00Z,2.1.0,N.A,Logical,RuntimeError,torch.randn,not implemented for,N\A,"RuntimeError: ""add_stub"" not implemented for 'Float8_e5m2'",https://github.com/pytorch/pytorch/issues/107087,API Input Context,Modeling Specific Data Types,,
,yes,2023-10-10T11:34:54Z,2.1.0,N.A,Logical,RuntimeError,torch.optim,Tensors of the same index must be on the same device,N\A,RuntimeError: Tensors of the same index must be on the same device and the same dtype except `step` tensors that can be CPU and float32 notwithstanding,https://github.com/pytorch/pytorch/issues/110940,Test Case Context+API Input Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Parameter Space,,
,no,2023-05-31T11:06:47Z,2.1.0,CPU,Logical,RuntimeError,torch.ops.prims.sum,takes 2 positional argument(s),N\A,"RuntimeError: prims::sum() takes 2 positional argument(s) but 3 was/were given.  Declaration: prims::sum(Tensor inp, int[]? dims, *, ScalarType? output_dtype=None) -> Tensor",https://github.com/pytorch/pytorch/issues/102610,API Input Context,Modeling Specific Data Types,,
,no,2023-03-22T08:33:52Z,2.1.0,CPU,Logical,Inconsistent results,torch.ops.aten.pow,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/97329,API Input Context,Modeling Specific Data Types,,
,yes,2023-05-09T16:44:54Z,2.1.0,CPU,Logical,Inconsistent results,torch.ops.aten.native_batch_norm,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/100985,Test Case Context,Model Tensor Execution on CUDA Devices,,
,yes,2023-05-31T10:58:54Z,2.1.0,CPU,Logical,RuntimeError,torch.ops.aten.le,Expected a value of type,N\A,"RuntimeError: prims::le(Tensor self, Tensor other) -> Tensor: Expected a value of type 'Tensor' for argument 'other' but instead found type 'float'.",https://github.com/pytorch/pytorch/issues/102609,Test Case Context+API Input Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Parameter Space,,
,yes,2023-09-01T09:19:57Z,2.1.0,,Logical,Inconsistent results,torch.einsum,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/108407,Test Case Context,Model Tensor Execution on CUDA Devices,,
,yes,2023-09-27T12:54:55Z,2.1.0,N.A,Logical,ValueError,torch.onnx.export,When exporting a ScriptModule or ScriptFunction,N\A,"ValueError: args contained 2 None's after flattening. When exporting a ScriptModule or ScriptFunction, no args may be None because that breaks type propagation.",https://github.com/pytorch/pytorch/issues/110154,Test Case Context+API Input Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Parameter Space,,
,yes,2023-08-22T12:58:26Z,2.1.0,cu121,Logical,Others,torch.onnx.export,The exported ONNX model failed,N\A,"/usr/local/lib/python3.10/dist-packages/torch/onnx/utils.py:1672: UserWarning: The exported ONNX model failed ONNX shape inference. The model will not be executable by the ONNX Runtime. If this is unintended and you believe there is a bug, please report an issue at https://github.com/pytorch/pytorch/issues. Error reported by strict ONNX shape inference: [ShapeInferenceError] Shape inference error(s): (op_type:Split, node name: /Split): [ShapeInferenceError] Neither 'split' input nor 'num_outputs' attribute has been given
(op_type:Sigmoid, node name: /Sigmoid): [TypeInferenceError] Input 0 expected to have type but instead is null
(op_type:Mul, node name: /Mul): [TypeInferenceError] Input 0 expected to have type but instead is null
 (Triggered internally at ../torch/csrc/jit/serialization/export.cpp:1403.)
  _C._check_onnx_proto(proto)",https://github.com/pytorch/pytorch/issues/107685,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Multiple API Usage Pattern,,
,yes,2023-08-19T20:07:50Z,2.1.0,cu121,Logical,Unsupported Error,torch.onnx.export,Exporting the operator,N\A,UnsupportedOperatorError: Exporting the operator 'quantized::linear_relu' to ONNX opset version 16 is not supported. Please feel free to request support or submit a pull request on PyTorch GitHub: https://github.com/pytorch/pytorch/issues.,https://github.com/pytorch/pytorch/issues/107522,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,
,yes,2023-07-26T05:38:37Z,2.1.0,,Logical,RuntimeError,torch.nn.MultiLabelMarginLoss,Expected non-empty vector or matrix with,N\A,"RuntimeError: Expected non-empty vector or matrix with optional 0-dim batch size, but got: [20, 9, 20]",https://github.com/pytorch/pytorch/issues/106011,API Input Context,Inputs with Incompatible Shapes,,
,no,2023-10-19T01:40:18Z,2.1.0,N.A,Logical,Inconsistent results,torch.no_grad,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/111528,Test Case Context,Modeling Compile/Eager Execution Mode,,
,yes,2023-08-22T05:46:29Z,2.1.0,CPU,Logical,RuntimeError,torch.nn.TransformerEncoder,expected scalar type,N\A,RuntimeError: expected scalar type BFloat16 but found Float,https://github.com/pytorch/pytorch/issues/107663,API Input Context,Modeling Parameter Space,,
,yes,2023-05-10T01:24:10Z,2.1.0,cu118,Logical,Inconsistent results,torch.nn.Softmax,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/101039,Test Case Context,Model Tensor Execution on CUDA Devices,,
,yes,2023-07-25T06:57:17Z,2.1.0,N.A,Logical,Inconsistent results,torch.nn.MaxPool2d,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/105901,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,
,yes,2023-05-22T08:19:33Z,2.1.0,N.A,Logical,Inconsistent results,torch.nn.functional.scaled_dot_product_attention,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/101967,API Input Context,Modeling Parameter Space,,
,yes,2023-03-28T17:52:04Z,2.1.0,cu116,Logical,ValueError,torch.nn.functional.pad,Mask argument cannot be block type,N\A,ValueError('Mask argument cannot be block type if pointer argument is not a block'),https://github.com/pytorch/pytorch/issues/97807,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,
,yes,2023-04-26T02:17:10Z,2.1.0,N.A,Logical,BackendCompilerFailed,torch.nn.functional.linear,is not tracked with proxy for,N\A,RuntimeError: s0 is not tracked with proxy for <torch.fx.experimental.proxy_tensor.PythonKeyTracer object at 0x7f25897eed7,https://github.com/pytorch/pytorch/issues/100055,Test Case Context,Modeling Compile/Eager Execution Mode,,
,yes,2023-10-18T16:54:10Z,2.1.0,cu121,Logical,Inconsistent results,torch.nn.CrossEntropyLoss,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/111484,API Input Context,Modeling Parameter Space,,
,yes,2023-10-09T19:29:22Z,2.1.0,cu121,Performance bug,Performance bug,torch.nn.Conv3d,Slow Execution,N\A,Slow Execution,https://github.com/pytorch/pytorch/issues/110885,Test Case Context,Oracle for Performance Bug Detection,,
,yes,2023-06-19T15:26:56Z,2.1.0,cu121,Vulnerability,Segmentation fault,torch.nn.Conv2d,Segmentation fault,N\A,Segmentation fault (core dumped),https://github.com/pytorch/pytorch/issues/103852,Test Case Context,Others,,
,yes,2023-05-14T08:31:07Z,2.1.0,N.A,Logical,AssertionError,torch.nn.Conv2d,expected size,N\A,"AssertionError: expected size 3==3, stride 98==784 at dim=0",https://github.com/pytorch/pytorch/issues/101356,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Compile/Eager Execution Mode,,
